modenumbers: 		 [46, 68, 71, 75]

freq: 		 [3845984359.5167685, 6236533702.920208, 6629616840.644817, 7029330462.842792]

mass:  		 [2.3786066012720587e-17, 2.1452090350761266e-17, 2.0350663348156438e-17, 2.1864423635313125e-17]

maxop1(u): 		 [3.080013437596421e-12, 3.0966426922812445e-12, 3.0998835870874683e-12, 3.100564515821119e-12]

maxop1(v): 		 [3.081129147215662e-12, 3.0995795376231378e-12, 3.1031009699961928e-12, 3.105145911818936e-12]

maxop1(w): 		 [3.9174949858373366e-16, 1.5511095511920313e-15, 3.658813702393323e-15, 2.5643596265121223e-15]

+0 solid.eZZ: 		 [array([3.14832771e-10]), array([4.76377009e-09]), array([9.05557281e-09]), array([3.58967541e-09])]

-R solid.eZZ: 		 [-1.249732794838594e-09, -7.629799803429327e-09, -3.063203402000476e-09, -7.885540819895602e-09]

+R solid.eZZ: 		 [3.148327709719587e-10, 4.763770090012115e-09, 9.055572807892211e-09, 3.589675407860294e-09]

+0 solid.eXX: 		 [array([-2.08270022e-09]), array([-6.95440407e-09]), array([2.00666268e-09]), array([-7.57009064e-09])]

-R solid.eXX: 		 [1.1327863906827557e-09, 4.60405641956047e-09, -1.1115705584032003e-09, 5.119862701483608e-09]

+R solid.eXX: 		 [-2.0827002210047296e-09, -6.954404069207562e-09, 2.0066626835773243e-09, -7.570090642926485e-09]

+0 solid.eYY: 		 [array([8.24418287e-09]), array([1.3275723e-08]), array([-1.50420993e-08]), array([1.33662004e-08])]

-R solid.eYY: 		 [-6.373385248006132e-10, -1.0098221569686749e-09, 2.867406561959918e-09, -1.3819199297218415e-09]

+R solid.eYY: 		 [8.244182874567185e-09, 1.3275722966690079e-08, -1.504209925037468e-08, 1.3366200426632655e-08]

+0 solid.eXZ: 		 [array([3.35163173e-09]), array([9.31329852e-09]), array([-9.93284651e-09]), array([1.14481729e-08])]

-R solid.eXZ: 		 [-5.933246916386636e-10, -1.381670219004288e-09, 1.775973056133513e-09, -1.509322226945113e-09]

+R solid.eXZ: 		 [3.3516317303820867e-09, 9.31329851705913e-09, -9.932846507280648e-09, 1.1448172893701815e-08]

+0 solid.eYZ: 		 [array([3.66130103e-06]), array([-8.89927327e-08]), array([1.10763138e-06]), array([-2.38853769e-06])]

-R solid.eYZ: 		 [-3.3684394625470414e-06, 6.675561875896437e-08, -9.975641580183203e-07, 2.1724997430403785e-06]

+R solid.eYZ: 		 [3.661301034776045e-06, -8.89927327409873e-08, 1.107631381347974e-06, -2.3885376949491295e-06]

+0 solid.eXY: 		 [array([-2.78739859e-09]), array([-5.65470686e-09]), array([5.75547363e-09]), array([-6.31690286e-09])]

-R solid.eXY: 		 [-8.044379441045729e-10, -2.266527266679199e-09, 2.3191596477257806e-09, -2.8021549964353485e-09]

+R solid.eXY: 		 [-2.7873985936799117e-09, -5.654706858775814e-09, 5.755473628148367e-09, -6.316902859681642e-09]

