modenumbers: 		 [10, 18, 25, 30, 36, 43, 47, 54, 61, 65, 72, 76, 86, 95]

freq: 		 [389185576.575973, 1104543008.3302512, 1691404208.7366061, 2318001634.4041533, 2966277812.113206, 3578465685.0538025, 4214732405.3670435, 4841417338.160999, 5448065686.705905, 6062422016.476347, 6658310291.817074, 7236378322.731797, 7806477306.592264, 8351972927.174031]

mass:  		 [1.8809438476171114e-16, 8.159050944305925e-17, 4.825707858478336e-17, 5.246535663957402e-17, 4.517132723012048e-17, 4.316041516374245e-17, 4.6219125943530736e-17, 4.265485566153954e-17, 4.354507353480764e-17, 4.524159329746532e-17, 4.3595114924239605e-17, 4.527414624765048e-17, 4.68997896133445e-17, 4.708049150653984e-17]

maxop1(u): 		 [-2.597561361215448e-16, -1.476841719319936e-16, 1.328347595776675e-15, 1.8615518313398508e-15, 1.481840119197118e-15, 2.2847360202124612e-15, 7.172681834683975e-15, 5.075397491058294e-15, 7.4023967760598e-15, 7.446101747240232e-15, 8.233563872806839e-15, 1.1618499013103806e-14, 1.262899321211136e-14, 1.5520682758123284e-14]

maxop1(v): 		 [8.868030881912372e-16, 1.3727394213867244e-15, -1.642151827804348e-15, -1.1760176711711399e-15, 2.517047632595034e-15, 3.321373631329521e-15, -5.874324070342916e-15, 4.091916087406157e-15, 3.5198297024897183e-15, 8.58737596742637e-15, 1.159061084571563e-14, 1.0787690330234536e-14, 1.6760683079643444e-14, 1.6930313355986153e-14]

maxop1(w): 		 [3.11e-12, 3.1100000000000003e-12, 3.11e-12, 3.11e-12, 3.11e-12, -3.0812594320048827e-12, 3.11e-12, -3.057128729608452e-12, 3.11e-12, -3.026146210256761e-12, 3.11e-12, -2.988994922562521e-12, 3.11e-12, -2.9455674399132284e-12]

+0 solid.eZZ: 		 [array([1.68731977e-06]), array([-2.84299178e-06]), array([3.11087363e-06]), array([-4.60001857e-06]), array([5.05180569e-06]), array([5.61373716e-06]), array([6.46596814e-06]), array([6.32890462e-06]), array([6.44324146e-06]), array([6.3442703e-06]), array([5.61630804e-06]), array([4.97024789e-06]), array([4.01077821e-06]), array([2.75576837e-06])]

-R solid.eZZ: 		 [1.7031384314781008e-06, -2.872020080545909e-06, 3.1470087020900143e-06, -4.663417543777385e-06, 5.13813178808327e-06, 5.7336915991468175e-06, 6.625419549123433e-06, 6.546853075945316e-06, 6.735536556366434e-06, 6.711528317957522e-06, 6.055647448725235e-06, 5.493868329426093e-06, 4.615099132196928e-06, 3.424969423369895e-06]

+R solid.eZZ: 		 [1.6873197677511566e-06, -2.8429917832568637e-06, 3.1108736312135437e-06, -4.600018572567451e-06, 5.051805691997795e-06, 5.6137371640005115e-06, 6.46596814388479e-06, 6.3289046196964775e-06, 6.443241462590339e-06, 6.344270304747314e-06, 5.616308043553727e-06, 4.970247890335078e-06, 4.010778210087446e-06, 2.75576836848842e-06]

+0 solid.eXX: 		 [array([-5.12460415e-07]), array([8.60828333e-07]), array([-9.37413232e-07]), array([1.37552403e-06]), array([-1.49371561e-06]), array([-1.63616562e-06]), array([-1.84804358e-06]), array([-1.7612205e-06]), array([-1.73141452e-06]), array([-1.62286941e-06]), array([-1.33712659e-06]), array([-1.05831777e-06]), array([-6.9268555e-07]), array([-2.69979571e-07])]

-R solid.eXX: 		 [-5.17596935600811e-07, 8.713074055205882e-07, -9.520978069645575e-07, 1.404610884509792e-06, -1.5375455116548968e-06, -1.701485092047114e-06, -1.943104380918278e-06, -1.8909572004093794e-06, -1.906747836302939e-06, -1.8466982967858283e-06, -1.6017370849479515e-06, -1.3704431151450225e-06, -1.044775298649701e-06, -6.435724012924621e-07]

+R solid.eXX: 		 [-5.124604145211484e-07, 8.608283328836012e-07, -9.374132315234621e-07, 1.3755240271055892e-06, -1.4937156147606261e-06, -1.636165622483155e-06, -1.848043579038361e-06, -1.7612205048398705e-06, -1.7314145226841367e-06, -1.6228694087907139e-06, -1.3371265920044412e-06, -1.05831776791722e-06, -6.926855496551767e-07, -2.6997957072112506e-07]

+0 solid.eYY: 		 [array([-5.46469812e-07]), array([9.26581712e-07]), array([-1.02393872e-06]), array([1.53766663e-06]), array([-1.72621456e-06]), array([-1.97084332e-06]), array([-2.35110859e-06]), array([-2.40700887e-06]), array([-2.58722968e-06]), array([-2.72928675e-06]), array([-2.63678568e-06]), array([-2.61041811e-06]), array([-2.46359657e-06]), array([-2.14801869e-06])]

-R solid.eYY: 		 [-5.490222745042802e-07, 9.314588444329764e-07, -1.0303358646629398e-06, 1.5496393211544488e-06, -1.7434314687945528e-06, -1.995810575555097e-06, -2.38570606972623e-06, -2.4551511839926712e-06, -2.652511953994146e-06, -2.812451633350105e-06, -2.735931483974019e-06, -2.7283708935579903e-06, -2.5976312588639546e-06, -2.291206251913735e-06]

+R solid.eYY: 		 [-5.464698118363847e-07, 9.265817117487189e-07, -1.0239387238822547e-06, 1.5376666279854403e-06, -1.7262145585260659e-06, -1.970843322134665e-06, -2.3511085945946297e-06, -2.407008870166599e-06, -2.587229682251339e-06, -2.729286751781039e-06, -2.636785682236209e-06, -2.610418110588901e-06, -2.4635965741828465e-06, -2.1480186945740523e-06]

+0 solid.eXZ: 		 [array([-8.0010491e-10]), array([1.3929282e-09]), array([-1.60280749e-09]), array([2.55694973e-09]), array([-3.11804442e-09]), array([-3.91768983e-09]), array([-5.25681772e-09]), array([-6.16038637e-09]), array([-7.69157394e-09]), array([-9.65555334e-09]), array([-1.1329028e-08]), array([-1.39769528e-08]), array([-1.70959865e-08]), array([-2.02857199e-08])]

-R solid.eXZ: 		 [1.7211712740862922e-08, -2.9702405652356662e-08, 3.3734524004287334e-08, -5.248560713528621e-08, 6.213393344315256e-08, 7.528450306012722e-08, 9.575471714369454e-08, 1.0687965628011653e-07, 1.256666387896503e-07, 1.470787765205889e-07, 1.6047098934873373e-07, 1.844109885761835e-07, 2.1147618279877897e-07, 2.3847348804100983e-07]

+R solid.eXZ: 		 [-8.001049097892086e-10, 1.3929282020354317e-09, -1.6028074867938905e-09, 2.5569497334917686e-09, -3.1180444181732204e-09, -3.91768982612413e-09, -5.256817716389262e-09, -6.16038637247016e-09, -7.691573938376742e-09, -9.655553342010844e-09, -1.1329027971660876e-08, -1.3976952818341008e-08, -1.7095986515180538e-08, -2.0285719938590446e-08]

+0 solid.eYZ: 		 [array([-1.52416871e-10]), array([5.00639964e-10]), array([-1.34122207e-09]), array([-5.69051426e-10]), array([-8.92103303e-10]), array([-2.1978671e-09]), array([4.30654743e-09]), array([-3.61649097e-09]), array([-5.76783089e-09]), array([-6.48928326e-09]), array([-6.75912817e-09]), array([-1.00064896e-08]), array([-1.79819145e-08]), array([-1.3848684e-08])]

-R solid.eYZ: 		 [-6.669040457437109e-11, 3.43530036605506e-10, -1.1488445640071263e-09, -1.0082566153306054e-09, -3.135846173981535e-10, -1.377726248645346e-09, 5.776087914977253e-09, -1.9587514351162383e-09, -3.396880297073836e-09, -3.3483620818053825e-09, -2.738771992315543e-09, -4.747107691562141e-09, -1.185765916418683e-08, -4.018425009248474e-09]

+R solid.eYZ: 		 [-1.5241687145878067e-10, 5.006399636010746e-10, -1.3412220732093619e-09, -5.690514262734432e-10, -8.921033032860218e-10, -2.1978670986350878e-09, 4.306547433059661e-09, -3.616490970377701e-09, -5.767830888299169e-09, -6.489283264885336e-09, -6.759128168856272e-09, -1.0006489560798155e-08, -1.798191445627129e-08, -1.3848684045602387e-08]

+0 solid.eXY: 		 [array([2.65144921e-10]), array([-4.65037769e-10]), array([5.41850036e-10]), array([-8.82556861e-10]), array([1.11168567e-09]), array([1.45598567e-09]), array([2.05863675e-09]), array([2.57841856e-09]), array([3.45952158e-09]), array([4.69202578e-09]), array([5.96784594e-09]), array([7.95876432e-09]), array([1.04994567e-08]), array([1.33781567e-08])]

-R solid.eXY: 		 [3.866350642377941e-11, -6.403748168158877e-11, 6.59841378119084e-11, -1.2071698452294848e-10, 1.2818324131242898e-10, 1.407170077588439e-10, 3.225580219543863e-10, 1.9485893281068887e-10, 1.533074699267158e-10, 2.6832200007629793e-10, 2.1888297782286684e-10, 3.5673750224795614e-10, 5.59767105836861e-10, 5.170833060204577e-10]

+R solid.eXY: 		 [2.651449208552458e-10, -4.650377685131846e-10, 5.418500358435319e-10, -8.825568613899831e-10, 1.1116856739657568e-09, 1.455985670139636e-09, 2.0586367459581553e-09, 2.578418558010681e-09, 3.459521580156664e-09, 4.6920257812234855e-09, 5.967845937701476e-09, 7.958764319596913e-09, 1.0499456737612675e-08, 1.3378156734200902e-08]

