modenumbers: 		 [16, 40, 50, 61, 69, 79, 86, 94]

freq: 		 [4486818.808185216, 32037944.392955508, 46391558.50284123, 64389740.815840855, 80138800.88109745, 97848870.99725245, 113939867.19896524, 130944824.58542971]

mass:  		 [3.110027400779371e-13, 1.202812954786056e-11, 4.813266408381178e-13, 3.977407925577194e-12, 5.132402193201783e-13, 2.3388279396098248e-12, 5.619897661444639e-13, 1.7644264529069158e-12]

maxop1(u): 		 [1.2926124335945947e-15, -2.0894893081677726e-16, 1.4334911580754505e-15, -2.0833692941452214e-16, 1.907307638210008e-15, 8.299354023199268e-16, 1.2838102167705074e-15, 2.002771611413981e-15]

maxop1(v): 		 [-1.9642108611730905e-15, 1.530166119696079e-16, 2.7284884715882135e-16, 7.234919966955766e-16, 8.455854768385089e-16, -2.1935642256499187e-17, 3.663664585995193e-15, 1.791337586568431e-15]

maxop1(w): 		 [1.1699999999999998e-10, -9.610008736691434e-12, -3.7305324135543224e-11, 1.0794528433926689e-11, 2.7216470245904804e-11, -1.1534539142468229e-11, -2.281992110777855e-11, 1.2282500246874757e-11]

+0 solid.eZZ: 		 [8.218060034563199e-06, -9.431826292672155e-06, 1.2162836782620215e-05, -1.245164471723112e-05, 1.5431166863162822e-05, -1.5606267993573987e-05, 1.919939696675213e-05, -1.9971486583128528e-05]

-R solid.eZZ: 		 [8.831724415191838e-06, -1.0136184836900992e-05, 1.3071564782887908e-05, -1.3381423395152081e-05, 1.6584631558842593e-05, -1.6771935653327012e-05, 2.063806289966802e-05, -2.1464522043415125e-05]

+R solid.eZZ: 		 [8.824745518862948e-06, -1.0128025189174404e-05, 1.3060317633091338e-05, -1.3370753544662828e-05, 1.6569413233868263e-05, -1.6757760161433856e-05, 2.0612283014372935e-05, -2.1443614176741913e-05]

+0 solid.eXX: 		 [6.906455457050325e-08, -7.926536715659654e-08, 1.0221741742706211e-07, -1.0464535572616318e-07, 1.2968713329850772e-07, -1.311601496676356e-07, 1.6136083774268836e-07, -1.6785223991963196e-07]

-R solid.eXX: 		 [1.6523979785439834e-08, -1.896749990936758e-08, 2.44511006825346e-08, -2.5048622042332278e-08, 3.101166895974844e-08, -3.140886904733375e-08, 3.85766475105718e-08, -4.021107908821341e-08]

+R solid.eXX: 		 [8.354294382338554e-09, -9.588558845312046e-09, 1.2363120959298854e-08, -1.2659936364209703e-08, 1.5683178951063766e-08, -1.5869210466233975e-08, 1.950731187110387e-08, -2.030887312782843e-08]

+0 solid.eYY: 		 [6.941509286968375e-08, -7.966770814424024e-08, 1.0273617717259284e-07, -1.0517659986176146e-07, 1.3034520365977854e-07, -1.3182625871214143e-07, 1.621794950842393e-07, -1.687047010448365e-07]

-R solid.eYY: 		 [7.06478904270078e-08, -8.108369408141218e-08, 1.045621619547117e-07, -1.0704756335728818e-07, 1.326629100981621e-07, -1.3417657015523327e-07, 1.6508550401746672e-07, -1.7172774686768416e-07]

+R solid.eYY: 		 [7.052326302258518e-08, -8.093971968417143e-08, 1.0437151959845881e-07, -1.0685819247447e-07, 1.3241376975728024e-07, -1.3393352359631816e-07, 1.6472153820591326e-07, -1.7139400091516757e-07]

+0 solid.eXZ: 		 [-1.141107297377162e-10, 1.525819898154898e-10, -2.0788943361483215e-10, 2.1520848525848432e-10, -1.6510795879962576e-10, 5.0900384780276695e-11, -2.4262336672957814e-10, 2.585502132561729e-10]

-R solid.eXZ: 		 [7.06711360837925e-09, -8.098357716474514e-09, 1.0484280973243807e-08, -1.0654343501311405e-08, 1.334964088465753e-08, -1.329504246862485e-08, 1.66775066393533e-08, -1.6952961414397896e-08]

+R solid.eXZ: 		 [-3.7019376445809543e-09, 4.236654580021933e-09, -5.5024199871075035e-09, 5.557793494146415e-09, -7.026071059697789e-09, 6.907313720674419e-09, -8.802254747220474e-09, 8.780281019600306e-09]

+0 solid.eYZ: 		 [-4.099055837437285e-12, -5.248208468435645e-12, 1.5600621900508358e-11, 2.3196966243619012e-12, -6.168053411416912e-11, -1.0742212763406555e-10, -1.657191370677345e-11, 5.477083591797806e-11]

-R solid.eYZ: 		 [-2.9667113574805038e-08, 3.4044131668461146e-08, -4.389055255405167e-08, 4.495630542239237e-08, -5.5736709005445014e-08, 5.627014033250566e-08, -6.930944806366293e-08, 7.217122417898419e-08]

+R solid.eYZ: 		 [-4.2019048310873575e-08, 4.822200046025738e-08, -6.216283344924441e-08, 6.368042834656904e-08, -7.890579983706513e-08, 7.976590050762889e-08, -9.809207692642663e-08, 1.022142935806846e-07]

+0 solid.eXY: 		 [-3.0953668687159516e-11, 3.5532564443031925e-11, -4.580927162402037e-11, 4.6901791639095426e-11, -5.806937322076738e-11, 5.869316893282554e-11, -7.222048467658642e-11, 7.514536285031519e-11]

-R solid.eXY: 		 [-4.670169506163416e-09, 5.3603953649428755e-09, -6.9113786173514895e-09, 7.0777840014726226e-09, -8.767839902419573e-09, 8.873050150133366e-09, -1.0908429638751306e-08, 1.1358560531150546e-08]

+R solid.eXY: 		 [1.0860344385255979e-08, -1.2465100891904577e-08, 1.6071271645359203e-08, -1.6458546468713245e-08, 2.038670343727241e-08, -2.0632031197662254e-08, 2.5356636091737317e-08, -2.6405957116390223e-08]

