modenumbers: 		 [7, 39, 45, 60, 66, 72, 80, 83, 91, 95]

freq: 		 [795406.1217978843, 30598329.674902126, 39355590.29619015, 62630989.2450243, 75587443.70276439, 85775080.07688992, 97941416.1646571, 108832853.9430824, 121359114.30528937, 132341966.19937557]

mass:  		 [9.707343755490734e-14, 3.841918545581465e-10, 2.386679478749471e-13, 2.3558141534463616e-13, 7.1259586866906055e-12, 2.409526007706203e-13, 3.120619423894968e-12, 2.476098259537011e-13, 1.982395906678981e-12, 2.564351117059934e-13]

maxop1(u): 		 [1.1699996330827348e-10, 1.4491185226965164e-12, 4.520640690462604e-11, 3.159386620411722e-11, 5.0549081985366215e-12, 2.5305960623328218e-11, 6.526211246773218e-12, 2.2201879328774687e-11, 7.540065348011619e-12, 2.0476631960037164e-11]

maxop1(v): 		 [1.169999158917357e-10, 1.448929246375493e-12, 4.5206469861478185e-11, 3.159362026927992e-11, 5.056071578922461e-12, 2.5306074415634896e-11, 6.524936751408792e-12, 2.2203063210228944e-11, 7.536074624490207e-12, 2.0476967504704164e-11]

maxop1(w): 		 [3.2281245364940357e-18, 5.52398769801022e-17, 2.517546585896084e-17, 1.5791426368582837e-16, 1.232459540368733e-15, 4.0864300485999787e-16, 5.174886338538368e-16, 3.1663340440808548e-15, 3.1359629539921427e-15, 6.449336927412428e-16]

+0 solid.eZZ: 		 [-8.238132608989792e-12, 2.5172436370197147e-11, 3.0587971387774496e-11, 4.193209395072776e-11, 4.9755773120061596e-11, -5.0069402907333424e-11, 5.668796215461829e-11, -5.7991099395243356e-11, 7.92616993299466e-11, -6.246860798233888e-11]

-R solid.eZZ: 		 [2.942734175015629e-10, -8.56661370691455e-10, -1.1534904768185178e-09, -1.5965392192724791e-09, -1.8761267919437013e-09, 1.912335708422919e-09, -2.07271455834734e-09, 1.701618625974674e-09, -1.781515813254964e-09, 1.7460664071228614e-09]

+R solid.eZZ: 		 [2.6576842227925068e-11, -1.1368959484392338e-10, -6.105199667769827e-11, -1.103303426410498e-10, 5.355033239377147e-11, 2.2425372730981694e-10, -1.7258752142269093e-10, 8.892046151626289e-10, -8.340617756127726e-10, 1.2573851829822938e-09]

+0 solid.eXX: 		 [-4.771418662599799e-12, 1.1933936870938029e-11, 2.3128111134151225e-11, 4.4151413617797217e-11, -6.031057584224807e-12, -7.519810845519302e-11, -3.094123182223029e-11, -1.1662449445840745e-10, -7.054718659563978e-11, -1.7120590070694806e-10]

-R solid.eXX: 		 [-3.3960910027701074e-10, 1.0320604471900451e-09, 1.2755882136390887e-09, 1.7706731852800876e-09, 1.9924050269494805e-09, -2.177682439342309e-09, 2.4844653905634843e-09, -2.5919615729952417e-09, 2.97987198066776e-09, -2.9357241110941004e-09]

+R solid.eXX: 		 [7.060599545351219e-11, -2.1662451313636412e-10, -2.610254152719342e-10, -3.527345052658e-10, -4.4113881120896734e-10, 4.1720023028469836e-10, -5.687851284461392e-10, 4.750946250912232e-10, -7.088749159795923e-10, 5.071961839988781e-10]

+0 solid.eYY: 		 [1.3324569553052395e-11, -4.479724890463135e-11, -4.136206205014939e-11, -3.7270042737777564e-11, -1.350915712031598e-10, 1.0934771859684445e-11, -2.0812553208084637e-10, -3.3381722435105524e-11, -3.051834044265518e-10, -1.0220308567553474e-10]

-R solid.eYY: 		 [1.22179099845709e-08, -3.6939707173102784e-08, -4.627323580861861e-08, -6.511139075517439e-08, -6.921684298898806e-08, 8.159684173085144e-08, -8.457911124899395e-08, 9.911430531341081e-08, -9.90195240337978e-08, 1.150428055539908e-07]

+R solid.eYY: 		 [-1.4305210503467135e-08, 4.32548808953874e-08, 5.416968406777786e-08, 7.62018491106721e-08, 8.109639664227036e-08, -9.546050139426498e-08, 9.914306514299809e-08, -1.1589602774090407e-07, 1.1612607638076394e-07, -1.3447144261557326e-07]

+0 solid.eXZ: 		 [8.538107358060667e-12, -2.7767737807548266e-11, -3.9148179825319486e-11, -2.8223245745951696e-11, 6.080525370720064e-11, 3.488930369046574e-11, -5.217325889895879e-12, -9.761322002539584e-10, 1.3412742434076294e-09, -2.1951700666960893e-10]

-R solid.eXZ: 		 [-2.1528977576484068e-10, 6.518837347655761e-10, 8.134331666976034e-10, 1.14048886257807e-09, 1.2325522925987946e-09, -1.4219814525002065e-09, 1.5139254966613375e-09, -1.7243566767445473e-09, 1.791478609750464e-09, -1.983428296060441e-09]

+R solid.eXZ: 		 [1.7078811423316293e-10, -5.184889396629669e-10, -6.426083640877172e-10, -8.943526740226151e-10, -9.95530749406337e-10, 1.1039518726944494e-09, -1.236284950556686e-09, 1.3166199279810062e-09, -1.4718987688659564e-09, 1.5003092861503483e-09]

+0 solid.eYZ: 		 [6.043790896727344e-12, -1.750883695161303e-11, -2.989615317930062e-11, -1.1202512903043725e-11, 2.551393930886738e-10, 2.2094618763589954e-11, -2.9075971572696273e-10, -1.2917668831450794e-09, 7.899878755569124e-11, -3.467629990862486e-10]

