freq   mass
9135.643260195988        1.8257687804561763E-13
9135.883416389346        1.8257679762007865E-13
230055.05093037625       3.2801670175098653E-13
230055.28827770223       3.2801713076553647E-13
756754.6758945653        2.114682715808986E-12
756757.0998085156        2.1146709915294505E-12
795406.1217978843        9.707343755490734E-14
1508474.6133286273       5.997449732048412E-13
1508475.9568447443       5.997394984402666E-13
2177998.1318517984       8.152672028379188E-13
2178007.7081439067       8.152743651343769E-13
3298589.2789505767       6.307473032811293E-13
3298594.6972103794       6.307378917080494E-13
4373678.886506856        6.869960344833576E-13
4373701.161672753        6.870006317144098E-13
4486818.808185216        3.110027400779371E-13
5826944.099097775        6.387278138562556E-13
5826955.367477017        6.387241483900363E-13
7295990.589525759        6.600762581294785E-13
7296033.852112317        6.600911490010671E-13
9111880.071248475        6.303793966884478E-13
9111903.216602325        6.303766591101319E-13
1.0996053146623809E7     6.279567963721892E-13
1.0996128953475231E7     6.279744545321105E-13
1.3155527087741038E7     6.210580296464412E-13
1.315556341093446E7      6.21049571650649E-13
1.5406406138428526E7     6.306389113435193E-13
1.540652869983531E7      6.306540206703203E-13
1.792389564050923E7      6.215863785711834E-13
1.7923939839701496E7     6.215709561608857E-13
2.0575282873054504E7     6.078640823165435E-13
2.057546256959214E7      6.078673155102404E-13
2.344121436096926E7      6.005516781550088E-13
2.3441257446526226E7     6.005345714119193E-13
2.6441746590369824E7     6.072040000024415E-13
2.6441969562620744E7     6.071819658785921E-13
2.965857589408921E7      6.087893730745028E-13
2.965861590900367E7      6.088011178186136E-13
3.0598329674902126E7     3.8419185455814657E-10
3.2037944392955508E7     1.202812954786056E-11
3.3039922422277026E7     5.957675064264986E-13
3.3040184182191566E7     5.957204059247739E-13
3.658473501840978E7      5.836760116679371E-13
3.6584805707128115E7     5.837190592561518E-13
3.935559029619015E7      2.3866794787494707E-13
4.028743813511738E7      5.848169012017017E-13
4.028772766192908E7      5.847619357855057E-13
4.4182481126523905E7     5.903941528083E-13
4.418261364525005E7      5.904447201482582E-13
4.639155850284123E7      4.813266408381177E-13
4.8271394795737065E7     5.819503990685691E-13
4.827169519164492E7      5.818910143494801E-13
5.247667624368403E7      5.683892339511077E-13
5.247688162831376E7      5.684418374173381E-13
5.2767026930158004E7     2.923364456658277E-11
5.683006895195291E7      5.648327935210034E-13
5.6830383217787E7        5.647693804955403E-13
6.1351848160300665E7     5.705805021610892E-13
6.135211492506144E7      5.70649795618026E-13
6.26309892450243E7       2.3558141534463616E-13
6.4389740815840855E7     3.977407925577194E-12
6.610618520058133E7      5.655816255452631E-13
6.61065352569236E7       5.655099211738422E-13
7.096076751025704E7      5.516169320091298E-13
7.096115163612099E7      5.516908558907483E-13
7.558744370276439E7      7.1259586866906055E-12
7.593976856021558E7      5.451637272591488E-13
7.594007984928319E7      5.450863637228691E-13
8.013880088109745E7      5.132402193201783E-13
8.104029608487844E7      5.507851549805117E-13
8.104081894739833E7      5.508457154951858E-13
8.577508007688992E7      2.409526007706203E-13
8.639337156596777E7      5.490576966223325E-13
8.639370088918278E7      5.489897222666257E-13
9.185475296186142E7      5.344794141205543E-13
9.185535535715024E7      5.345124575779276E-13
9.743922026020788E7      5.242220658986223E-13
9.74395866060784E7       5.242107377140723E-13
9.784887099725245E7      2.3388279396098248E-12
9.79414161646571E7       3.1206194238949676E-12
1.0309871318336244E8     5.291477735368779E-13
1.0309942416370699E8     5.291351451982141E-13
1.088328539430824E8      2.4760982595370107E-13
1.0899989820183238E8     5.319886670362761E-13
1.0900030406626229E8     5.319926856066341E-13
1.1393986719896524E8     5.61989766144464E-13
1.1500565541749112E8     5.190257957143961E-13
1.1500641401949807E8     5.189857104795661E-13
1.2114503024893062E8     5.047900479300356E-13
1.2114555900505121E8     5.048130150969891E-13
1.2135911430528937E8     1.982395906678981E-12
1.2733915547710308E8     5.059631209992181E-13
1.2733988699154466E8     5.059350355960391E-13
1.3094482458542971E8     1.7644264529069158E-12
1.3234196619937557E8     2.564351117059934E-13
1.3376532266016808E8     5.120517805403689E-13
1.3376595683464357E8     5.120594244508644E-13
1.4027463003434846E8     5.037103177160194E-13
1.402754486821007E8      5.037043955971558E-13
1.4437022178866687E8     1.35855407298304E-12
