modenumbers: 		 [46, 68, 71, 75]

freq: 		 [3845984359.5167685, 6236533702.920208, 6629616840.644817, 7029330462.842792]

mass:  		 [2.3786066012720587e-17, 2.1452090350761266e-17, 2.0350663348156438e-17, 2.1864423635313125e-17]

maxop1(u): 		 [3.080013437596421e-12, 3.0966426922812445e-12, 3.0998835870874683e-12, 3.100564515821119e-12]

maxop1(v): 		 [3.081129147215662e-12, 3.0995795376231378e-12, 3.1031009699961928e-12, 3.105145911818936e-12]

maxop1(w): 		 [3.9174949858373366e-16, 1.5511095511920313e-15, 3.658813702393323e-15, 2.5643596265121223e-15]

+0 solid.eZZ: 		 [9.146135664555294e-11, 2.641964497441951e-10, -2.0453582574019896e-10, 3.757017237893591e-10]

-R solid.eZZ: 		 [3.148327709719587e-10, 4.763770090012115e-09, 9.055572807892211e-09, 3.589675407860294e-09]

+R solid.eZZ: 		 [-1.3816965351090177e-09, -9.303548810956034e-09, -4.139186927669781e-09, -9.434663256465809e-09]

+0 solid.eXX: 		 [8.864725673116624e-10, 2.580567229341588e-09, -2.8016845361329643e-09, 3.223719488007434e-09]

-R solid.eXX: 		 [-2.0827002210047296e-09, -6.954404069207562e-09, 2.0066626835773243e-09, -7.570090642926485e-09]

+R solid.eXX: 		 [1.3909511398896055e-09, 6.556563732721775e-09, -1.8066381054927337e-09, 7.641306709788894e-09]

+0 solid.eYY: 		 [-7.065834139912742e-10, -2.0726746429570115e-09, 2.2139879118136846e-09, -2.6465480942806552e-09]

-R solid.eYY: 		 [8.244182874567185e-09, 1.3275722966690079e-08, -1.504209925037468e-08, 1.3366200426632655e-08]

+R solid.eYY: 		 [-6.9739135778897326e-09, 1.3171244753499775e-09, 2.7207972054283e-10, 1.937266457197268e-09]

+0 solid.eXZ: 		 [3.2175482128578784e-09, 1.1334644855571788e-08, -1.1657711576250493e-08, 1.523419942325446e-08]

-R solid.eXZ: 		 [3.3516317303820867e-09, 9.31329851705913e-09, -9.932846507280648e-09, 1.1448172893701815e-08]

+R solid.eXZ: 		 [9.62026211490622e-10, 2.733321103967002e-09, -3.012367140864486e-09, 3.523793863806205e-09]

+0 solid.eYZ: 		 [1.4743144623757381e-08, -7.1938683343426845e-09, 1.3732614657286234e-08, -2.083512501424297e-08]

-R solid.eYZ: 		 [3.661301034776045e-06, -8.89927327409873e-08, 1.107631381347974e-06, -2.3885376949491295e-06]

+R solid.eYZ: 		 [-3.663904342774497e-06, 8.32961189158853e-08, -1.098896439310514e-06, 2.3821397127963987e-06]

+0 solid.eXY: 		 [-4.162384452105342e-10, -1.2952201702480273e-09, 1.4181279237562427e-09, -1.6776027849888252e-09]

-R solid.eXY: 		 [-2.7873985936799117e-09, -5.654706858775814e-09, 5.755473628148367e-09, -6.316902859681642e-09]

+R solid.eXY: 		 [-8.866489256843175e-10, -2.13680624341551e-09, 1.4325092659918268e-09, -4.409389978658881e-10]

