modenumbers: 		 [7, 13, 19, 22, 26, 29, 33, 37, 40, 50, 53, 57, 60, 64, 81, 87, 92, 98]

freq: 		 [261879048.3268301, 758363023.56206, 1135962751.888936, 1483402415.2681382, 1894605511.928052, 2261966886.1884303, 2656964985.469295, 3060494990.8707767, 3440037722.395515, 4243599045.1044836, 4632128963.755745, 5040067417.264066, 5434448465.798093, 5829378021.877582, 7434256305.336774, 7827733478.103741, 8230636157.49858, 8633284415.610296]

mass:  		 [5.29287093841391e-16, 1.6037189580678366e-16, 3.993118084458566e-17, 3.671019963339338e-17, 2.9281905871249015e-17, 2.3073127109046087e-17, 2.663455114984445e-17, 2.228581517481713e-17, 2.197604108389963e-17, 2.0745660757132226e-17, 2.1934876790121297e-17, 2.2350995460347286e-17, 2.037066227187993e-17, 2.193044550240321e-17, 2.0873107884894966e-17, 2.0558739618535068e-17, 2.1721548544841816e-17, 2.047996587385338e-17]

maxop1(u): 		 [1.3914356430908886e-12, 2.427507594477635e-12, 2.7759873907292883e-12, 2.9103477903213927e-12, 2.98702770265486e-12, 3.0238179527853574e-12, 3.0476754445457564e-12, 3.0632831329320567e-12, 3.0732737254812935e-12, 3.0852663176578004e-12, 3.0902689127081754e-12, 3.0939008735070853e-12, 3.0950846255936148e-12, 3.0961177894949584e-12, 3.103931117275632e-12, 3.108492291650741e-12, 3.1087488271722152e-12, 3.1017296992482933e-12]

maxop1(v): 		 [1.3914343519177847e-12, 2.427513404482627e-12, 2.7759617680540736e-12, 2.9103084142421824e-12, 2.9869578275288333e-12, 3.0238852599645974e-12, 3.0478057829302554e-12, 3.0633710715880128e-12, 3.0731514108091343e-12, 3.086000834051096e-12, 3.0915229590942573e-12, 3.0950520763219604e-12, 3.0954643266603553e-12, 3.0987280946548827e-12, 3.1075414834703864e-12, 3.1058701783026285e-12, 3.11e-12, 3.098659981545404e-12]

maxop1(w): 		 [2.766675408149727e-19, 2.7401567812976687e-18, 8.343751560665989e-18, 1.2574847558948792e-17, 2.1412650510104045e-17, 3.010925910920564e-17, 4.161381480273936e-17, 8.576364498707103e-17, 1.2883680524193434e-16, 2.329564006206947e-16, 4.93676417153183e-16, 6.007031647885123e-16, 7.564432651562702e-16, 1.5858089247567106e-15, 2.1299839540296136e-15, 3.04981999455281e-15, 8.261215076059986e-16, 7.027464988910308e-15]

+0 solid.eZZ: 		 [2.0814418683590034e-13, 2.0940438049100448e-12, 2.1979050427937938e-12, -7.657173247876153e-12, 1.3589707311344534e-11, 2.0933222918496012e-11, -3.571730010916381e-11, 4.5438190988506684e-11, 6.493008455468775e-11, -8.445715600399045e-11, 1.4739447736820747e-10, -1.579215405748366e-10, 3.9200443380116166e-10, -2.3192743385045376e-10, -3.2055067742067986e-10, 8.268213630485639e-10, -4.0083322377154057e-10, 3.1252442005147e-10]

-R solid.eZZ: 		 [9.275134648663923e-11, 2.1595505385494005e-10, 1.2704522113429116e-10, -1.4221020567124968e-10, 8.52029854245982e-11, -1.8620555355774078e-12, 1.2833821598343816e-10, -2.764216405790959e-10, -7.436413604057068e-10, 2.9728655854059314e-10, -5.104094862836885e-10, 2.1179547469228682e-09, -4.838020205763586e-10, 2.4308601493971397e-09, 2.780096464112334e-09, -7.319303938340887e-09, 4.496468403377143e-09, 1.5414345854436163e-09]

+R solid.eZZ: 		 [5.665405162027304e-11, 1.3858735241550063e-10, 8.909173429311328e-11, -1.1956240590653992e-10, 1.0906669888767489e-10, 8.78406763243943e-11, -4.668486677512969e-11, -3.22426977776578e-11, 1.466917850763342e-10, 1.1369914392839691e-09, -1.4585685347746769e-09, 5.113589655762732e-10, -2.2520725658617504e-09, 1.4226344336995504e-09, 3.4554184073018553e-09, 1.0994452538146974e-09, 2.917827436879476e-09, -9.348417861039348e-09]

+0 solid.eXX: 		 [4.854536382481099e-13, 1.670367463911153e-11, 2.7328256299625988e-11, -6.845973607501442e-11, 1.2733653591590573e-10, 1.84881016481954e-10, -3.382060852900956e-10, 4.446094419199182e-10, 6.14249848881555e-10, -1.0396603581415697e-09, 1.347668673473256e-09, -1.6829004340172838e-09, 1.7861483322609236e-09, -2.29136157190708e-09, -3.408760212446296e-09, 3.421389847943742e-09, -4.018219000012815e-09, 4.192631957823852e-09]

-R solid.eXX: 		 [-8.022378645557953e-11, -2.2947786634770931e-10, -1.8282661816379934e-10, 3.09798895412287e-10, -4.2203178483098025e-10, -5.07575716213672e-10, 8.092065717084553e-10, -9.612993011571783e-10, -1.1442359158132094e-09, 2.134215977908339e-09, -2.6894919821031945e-09, 2.7360202604402546e-09, -3.634106298985811e-09, 3.743614331309547e-09, 5.260066068085515e-09, -3.0985717460022974e-09, 5.048883559830496e-09, -7.801835976694874e-09]

+R solid.eXX: 		 [-3.199142404322588e-11, -6.429743407112469e-11, -2.667265749554002e-11, 5.5567190745759714e-12, 5.454910807472177e-11, 1.2229346733071872e-10, -2.8607666166001616e-10, 4.303067735083263e-10, 5.49304893936925e-10, -1.4822622989028232e-09, 1.9715982486982274e-09, -2.0244162144293477e-09, 2.93368969850416e-09, -3.1711293773140165e-09, -5.687800083243864e-09, 3.862315196228804e-09, -6.471174883319946e-09, 9.81389113276393e-09]

+0 solid.eYY: 		 [-4.269969834911394e-13, -1.3402420287230611e-11, -2.1375202146564608e-11, 5.47880333755943e-11, -1.0164708013445177e-10, -1.4831146099918927e-10, 2.699814392214958e-10, -3.5413001482072025e-10, -4.908817528399116e-10, 8.162928434517706e-10, -1.081078760409164e-09, 1.337066410236673e-09, -1.5556148308166539e-09, 1.8368161112538198e-09, 2.7751032411409625e-09, -3.1719517624748437e-09, 3.390656627926094e-09, -3.5657298935145585e-09]

