modenumbers: 		 [25, 37, 45, 54, 61, 68, 74, 80, 86, 92, 98]

freq: 		 [125843846.7469463, 230229517.5153094, 337668503.35567033, 449197552.8575961, 560117747.3165213, 669444054.525565, 777782790.6212988, 885514555.3396037, 997814294.2870595, 1107200555.2422035, 1221302059.0135357]

mass:  		 [3.2398684171929986e-17, 9.377073816280983e-18, 2.8531433015228537e-19, 5.2615706615444056e-18, 2.3637072228638746e-18, 7.862037294399803e-18, 2.0181409488862296e-18, 2.213799270026152e-18, 2.440615168765867e-18, 3.1765031538969913e-18, 5.698255686071771e-20]

maxop1(u): 		 [1.3499999999999999e-11, 1.3499999999999999e-11, 1.3499999999999997e-11, 1.3499999999999999e-11, 1.3499999999999999e-11, 1.2877374530844778e-11, 1.3499999999999999e-11, 1.3499999999999999e-11, 1.3499999999999999e-11, 1.3499999999999999e-11, 1.3499999999999999e-11]

maxop1(v): 		 [1.935720118273135e-12, -2.1159981551002176e-12, 2.064033403268994e-12, 2.489022338212543e-12, 5.349567645780131e-13, 1.35e-11, -2.8457136613852704e-12, 3.4176538020567396e-12, -3.647647770024228e-12, -7.366779590441802e-12, 1.5053724738267582e-13]

maxop1(w): 		 [6.363666877888125e-15, 1.0008286524400445e-14, 1.4884909028161033e-14, 1.941907064855233e-14, 2.325832281072397e-14, 3.9558941776001e-14, 3.130660144669398e-14, 3.829693561964985e-14, 4.073458911191294e-14, 4.943186136317016e-14, 5.181535197501488e-14]

+0 solid.eZZ: 		 [-1.1456163200117312e-10, -2.007630191563362e-11, -1.5433818674451997e-10, 2.2652087917878083e-10, -3.743561260827707e-10, -4.0009864253607836e-11, -9.024603789730762e-11, -5.707056699606129e-12, 1.2543451918864534e-10, -2.3940302665424e-11, 5.736314632581666e-11]

-R solid.eZZ: 		 [1.0759406345628764e-08, 1.8829169046258845e-09, 1.6798411735141322e-08, -2.3134649016012892e-08, 4.100677875179397e-08, 2.7116100613637216e-09, 6.753124582531617e-09, -6.5145394989704045e-09, -2.386332779231531e-08, -8.721394405438397e-09, -2.180008936372953e-09]

+R solid.eZZ: 		 [-1.0631778149786978e-08, -1.7658967777192062e-09, -1.6819631960109092e-08, 2.331616100951538e-08, -4.114256930836622e-08, -2.2268652619248987e-09, -6.586390936853633e-09, 6.649443791946624e-09, 2.4038380251710765e-08, 9.01691143010401e-09, 2.1858875801795228e-09]

