modenumbers: 		 [28, 42, 52, 63, 72, 81, 89, 96]

freq: 		 [145715398.23161158, 292474102.83158165, 442303155.35676783, 593882938.0854982, 745337320.4479681, 896038708.1914024, 1045703531.9353634, 1194378199.1366832]

mass:  		 [1.6237545090621764e-16, 4.038009709687287e-17, 3.3019924584669814e-18, 9.199276161015237e-18, 4.8591233377006625e-18, 4.215946822452589e-18, 1.9857914276928632e-18, 2.3626220385435544e-18]

maxop1(u): 		 [6.329154044214916e-13, 1.783820393757155e-13, -1.3498073146203677e-11, -2.740435710585421e-12, -4.743885230260245e-12, 9.212635526058634e-13, 1.0233335501083047e-11, 1.7539977920740811e-12]

maxop1(v): 		 [2.1653711267262665e-12, -1.3342240381557998e-12, -1.1345964525575685e-12, 1.4369470243386563e-12, 4.976206499471018e-12, 1.3298458274175045e-12, 5.263998555577398e-13, 9.818839306861648e-13]

maxop1(w): 		 [1.349575461342002e-11, -1.3496698511669635e-11, 6.539866920168601e-12, -1.3485477418036415e-11, 1.3488595875029788e-11, 1.3498512646643102e-11, 1.3481515492682755e-11, 1.3498026188897932e-11]

+0 solid.eZZ: 		 [1.431986057496594e-06, 1.337024892303143e-06, 5.972957043653887e-07, 1.1835432213737895e-06, 1.1679198839669327e-06, -1.1897268021788589e-06, 1.2069131790771705e-06, -1.2256870456646493e-06]

-R solid.eZZ: 		 [1.3209300554845543e-06, 1.233409300699956e-06, 5.684333520722165e-07, 1.0924094325986738e-06, 1.0734703465728312e-06, -1.0962858045861821e-06, 1.111529999894739e-06, -1.1229665245598703e-06]

+R solid.eZZ: 		 [1.32196648351782e-06, 1.2333749989352464e-06, 5.332169511922947e-07, 1.0881031066770697e-06, 1.0758304971957916e-06, -1.0902820129837863e-06, 1.1030947113146775e-06, -1.121938686351335e-06]

+0 solid.eXX: 		 [-4.3969035590403186e-07, -4.1064843667460026e-07, -1.8352930481863296e-07, -3.639348419942597e-07, -3.594538107109742e-07, 3.665600352610591e-07, -3.723283235147477e-07, 3.7867894043037947e-07]

-R solid.eXX: 		 [-4.0115712806689203e-07, -3.7452017469178795e-07, -1.7272801839937637e-07, -3.314737023620224e-07, -3.255067451993694e-07, 3.322303851371747e-07, -3.365800277330823e-07, 3.3968069585557725e-07]

+R solid.eXX: 		 [-4.0152082598941557e-07, -3.745451720805403e-07, -1.6169186314678826e-07, -3.3015444907519886e-07, -3.2627893475797244e-07, 3.3038415749697246e-07, -3.339857505375753e-07, 3.393950151835371e-07]

+0 solid.eYY: 		 [-4.386463878150643e-07, -4.096737239570526e-07, -1.8310741364282727e-07, -3.6306824152116413e-07, -3.585920085681865e-07, 3.656819893008214e-07, -3.7143606259273566e-07, 3.777597771107425e-07]

-R solid.eYY: 		 [-4.2764080441782313e-07, -3.994514646692684e-07, -1.8379165592950262e-07, -3.542869954400295e-07, -3.48642855963432e-07, 3.5647164786478624e-07, -3.620396796124312e-07, 3.665660816057756e-07]

+R solid.eYY: 		 [-4.2794532092046073e-07, -3.9943225321742906e-07, -1.7321411197799976e-07, -3.5298923951836477e-07, -3.49347382443473e-07, 3.5465637373022933e-07, -3.594651552791419e-07, 3.6625255386467875e-07]

+0 solid.eXZ: 		 [6.108935486395853e-10, 6.269176299679163e-10, 5.799275278344241e-09, 1.4027554163354812e-09, -1.5925132074702384e-10, -2.5051104099487696e-09, 4.1408370932607245e-09, -9.112316454504728e-10]

-R solid.eXZ: 		 [-3.175108221481988e-10, -3.009036454863984e-10, -1.3424157229499556e-10, -2.6527460044754863e-10, -2.657784612020738e-10, 2.710146342650148e-10, -2.8718720639332327e-10, 2.8915666816013123e-10]

+R solid.eXZ: 		 [1.0450552152554023e-10, 1.011046764307365e-10, 4.214225891259763e-11, 8.886876215846761e-11, 9.308981082496699e-11, -9.234466120804661e-11, 1.0200605639653342e-10, -1.0721735639430502e-10]

+0 solid.eYZ: 		 [1.2302901351811924e-09, -8.404354433566811e-10, 1.3618497780690276e-10, 1.5814054703145918e-09, 4.015762567596842e-10, -2.477690858779833e-09, -1.7240604371896653e-09, -8.324743605775372e-10]

-R solid.eYZ: 		 [9.613471494420627e-10, -4.983058390182907e-10, 4.089359150229759e-10, 1.3496122879791762e-09, 4.6289225972590763e-10, -2.2389506336994633e-09, -1.171115203143899e-09, -9.366880753300085e-10]

+R solid.eYZ: 		 [7.561839041281939e-10, -6.900689721582392e-10, -1.8821029091342754e-10, 1.1709742346050751e-09, 2.1941480423985852e-10, -1.8060767590745008e-09, -1.5999896781638176e-09, -4.85326237760531e-10]

+0 solid.eXY: 		 [4.537600741430007e-10, 4.206966818799852e-10, 1.9521727369854756e-10, 3.787792740583773e-10, 3.7290417621991347e-10, -3.863854241646867e-10, 3.922646764152786e-10, -4.0125370991712645e-10]

-R solid.eXY: 		 [6.604351774065157e-11, 6.558490891436551e-11, 3.529602434447446e-11, 5.7482340874576225e-11, 5.609049443832237e-11, -5.917466281819467e-11, 6.000202088836158e-11, -6.050692117806628e-11]

+R solid.eXY: 		 [-1.6954073365338624e-10, -1.6256799620481834e-10, -6.819325116464699e-11, -1.4078797911069718e-10, -1.4079440805671905e-10, 1.4164609376386708e-10, -1.4600921202085085e-10, 1.4784367862481325e-10]

