freq  mass
1722588.9745860184       2.0854397604380287E-17
1725349.2109841097       2.0889840328872216E-17
4328213.737366882        3.004430553153939E-18
4342364.329177448        2.9071978634383066E-18
8186536.082192772        9.289942446239863E-19
8229790.057025005        9.46174338520624E-19
1.3461631897766491E7     4.422393136634059E-19
1.3503369669240361E7     4.497693716126334E-19
2.0222288084181424E7     2.542200579370966E-19
2.0322988950182773E7     2.716851057006409E-19
2.84943911529901E7       1.5680236926025896E-19
2.872809773113212E7      1.8609904441659491E-19
3.82800492286328E7       1.098841000166087E-19
3.866943426395078E7      1.2990802119588346E-19
4.955088209679264E7      7.964260759579818E-20
5.010581181178139E7      9.650034334249412E-20
6.238116451809753E7      6.06682695211243E-20
6.307999247746502E7      7.611208998927123E-20
7.67844072899274E7       4.5722861365220416E-20
7.768640339809549E7      6.378540843539571E-20
9.265925619932684E7      3.570922616197459E-20
9.419439146358594E7      5.3947589320803507E-20
1.1016012835326754E8     2.817899954127897E-20
1.1205259165737385E8     4.544477950731555E-20
1.258438467469463E8      3.239868417192999E-17
1.291677215816949E8      2.3016636749922394E-20
1.3186955010178214E8     3.7066004787015375E-20
1.4571539823161158E8     1.6237545090621764E-16
1.500033447013095E8      1.873302244683025E-20
1.532064796773595E8      3.172844326286428E-20
1.7216572499031225E8     1.5264936764744496E-20
1.7617609955714834E8     2.770398128066328E-20
1.9612286026106867E8     1.2478943642045116E-20
2.010762375044361E8      2.2970672545613602E-20
2.2153533572066095E8     1.0046635049966708E-20
2.27719876894606E8       1.931148026373817E-20
2.302295175153094E8      9.377073816280982E-18
2.486350669394607E8      8.375566952580693E-21
2.560322602535984E8      1.504981096967372E-20
2.772251474649492E8      6.6980608037447584E-21
2.8565837328078574E8     1.1796931146557359E-20
2.9247410283158165E8     4.038009709687287E-17
3.0720628372026473E8     5.409834669241055E-21
3.1677112844643205E8     9.160767235187329E-21
3.3766850335567033E8     2.8531433015228537E-19
3.3910266967015433E8     4.2706713833931396E-21
3.497648172775018E8      6.971966223845438E-21
3.7200937087764424E8     3.361099458095343E-21
3.8430079203331196E8     5.470263219125014E-21
4.0651447159193605E8     2.6987201274668434E-21
4.1991175903732455E8     4.143313622065192E-21
4.4230315535676783E8     3.3019924584669814E-18
4.425340699933613E8      2.156524567712469E-21
4.491975528575961E8      5.261570661544405E-18
4.574139350844826E8      2.948541908971995E-21
4.799571441808604E8      1.7777995253907806E-21
4.9609319353654057E8     2.307777917337794E-21
5.190535051018428E8      1.4358712993457844E-21
5.356255759904163E8      1.7495389863891176E-21
5.590186195896782E8      1.1902629247017523E-21
5.601177473165213E8      2.3637072228638743E-18
5.767409484101838E8      1.4356949395115574E-21
5.938829380854982E8      9.199276161015237E-18
6.01211189716634E8       1.0022564553901385E-21
6.202107972409939E8      1.2078014895808E-21
6.441256044665346E8      8.425521610477764E-22
6.637241582863871E8      9.839861617865892E-22
6.69444054525565E8       7.862037294399803E-18
6.889931752815679E8      7.295211673817998E-22
7.105769501751223E8      8.589904535132304E-22
7.354207794102196E8      5.891253093654512E-22
7.453373204479681E8      4.859123337700662E-18
7.566300188847084E8      6.810674802710341E-22
7.777827906212988E8      2.0181409488862296E-18
7.829212750009643E8      5.056119063174709E-22
8.068552748480953E8      6.33859537951315E-22
8.321800124761932E8      4.1578771880017364E-22
8.560982728722613E8      5.224773801170718E-22
8.818224393539596E8      3.420508016059316E-22
8.855145553396037E8      2.213799270026152E-18
8.960387081914024E8      4.2159468224525885E-18
9.079892688337713E8      4.694928862065605E-22
9.341058268737683E8      2.921760895333853E-22
9.627250734554106E8      3.723811260643531E-22
9.863013135948639E8      2.3574016329073506E-22
9.978142942870595E8      2.440615168765867E-18
1.0151141179863181E9     3.24076441455908E-22
1.0399817334982666E9     2.0704873114643538E-22
1.0457035319353634E9     1.9857914276928632E-18
1.072228084485088E9      2.5878541531248297E-22
1.0953794431652043E9     1.69795647708025E-22
1.1072005552422035E9     3.176503153896991E-18
1.127643042386533E9      2.2129581070720906E-22
1.150696853993351E9      1.5677159651718455E-22
1.186123635007007E9      1.9931674909135861E-22
1.1943781991366832E9     2.3626220385435544E-18
1.2086016750350342E9     1.429669946873027E-22
1.2213020590135357E9     5.69825568607177E-20
1.2451835591198092E9     1.7140668706001697E-22
1.2666539424061596E9     1.3243620341365375E-22
