modenumbers: 		 [33, 53, 68, 71, 75, 81]

freq: 		 [2685197484.40569, 4662022431.632225, 6271771481.496198, 6667487111.0877285, 7067338867.4650345, 7476119416.92025]

mass:  		 [2.0483339802867658e-17, 1.5385820270905706e-17, 1.5199952032031926e-17, 1.4051601683525382e-17, 1.5080621250755404e-17, 1.462375927387067e-17]

maxop1(u): 		 [2.99075248342526e-12, 3.0685042727853275e-12, 3.0828740549591563e-12, 3.0835694049295393e-12, 3.082382501634118e-12, 3.0999999999999997e-12]

maxop1(v): 		 [2.9964002792682166e-12, 3.0761493996749895e-12, 3.0928506303314784e-12, 3.0999999999999997e-12, 3.093714413127881e-12, 3.0839459571584332e-12]

maxop1(w): 		 [2.407093972991891e-15, 2.271267420170377e-15, 4.987762481153307e-15, 4.253062075049919e-15, 4.7273876041324e-15, 3.1626933504453292e-15]

+0 solid.eZZ: 		 [-6.28813887621093e-11, -1.0934829114522372e-10, -2.6876643389750973e-10, 2.3919400795110956e-10, 1.3615635261258384e-10, 3.124645030572283e-11]

-R solid.eZZ: 		 [-1.9913669073084325e-09, 2.477616207877442e-09, 1.2219300555674222e-08, -8.022123239656207e-09, 9.738626675469096e-09, 9.726741739008273e-09]

+R solid.eZZ: 		 [1.90354787810644e-09, -5.104154949084097e-09, -1.714113566032867e-08, 1.2711100134140319e-08, -1.4312593502342885e-08, -1.4137114652415156e-08]

+0 solid.eXX: 		 [4.526065186820655e-11, -1.5769175308530494e-11, -4.57973139178999e-10, 6.577773695317718e-10, -1.1161754542727638e-09, -1.4066983626103019e-09]

-R solid.eXX: 		 [-1.2682754620670079e-10, -3.808617366302553e-09, -9.798896991403295e-09, 8.362793002628936e-09, -9.626624610275893e-09, -9.5298348047529e-09]

+R solid.eXX: 		 [2.607506865894631e-10, 4.630397760719043e-09, 1.1786602737336907e-08, -1.0478555787164769e-08, 1.2115688731912556e-08, 1.2324100432403473e-08]

+0 solid.eYY: 		 [-3.9088572602274965e-10, -1.3943527885043988e-09, -2.282342769970171e-09, 2.2711951024266918e-09, -2.622169049565019e-09, -2.493865188842987e-09]

-R solid.eYY: 		 [3.682791244923392e-09, 3.7592821459930814e-09, 1.5615111756254497e-09, -1.454722237473078e-09, 3.795248635762166e-10, -1.2362652908218079e-09]

+R solid.eYY: 		 [-8.546066957132014e-09, -5.063178889444953e-09, 4.3308587178460516e-10, -6.186018329794752e-10, 1.46870180814119e-09, 2.5261462689119495e-09]

+0 solid.eXZ: 		 [2.891064759431445e-09, -5.829790528708874e-10, 1.0472816150181388e-09, -1.7262554417525895e-09, 2.7686248343334864e-09, 2.779920409985454e-09]

-R solid.eXZ: 		 [4.570186781677553e-10, 1.9633346365510287e-09, 3.901962131516204e-09, -4.109602483665865e-09, 4.797847344897412e-09, 5.077814517853049e-09]

+R solid.eXZ: 		 [1.353427492941933e-09, 4.810472265086156e-09, 9.394928801184132e-09, -9.921082572336427e-09, 1.1595429196449886e-08, 1.2335984521622794e-08]

+0 solid.eYZ: 		 [1.2015652213991975e-08, 1.0313734071206227e-08, -3.6089378395992257e-09, 8.642665368483498e-09, -1.222807412529623e-08, -1.9427473927414734e-08]

-R solid.eYZ: 		 [3.20134717273465e-06, 2.3727959908010768e-06, -1.5109732317128788e-07, 1.0039586537905141e-06, -2.0772486912533458e-06, -3.1450808428088694e-06]

+R solid.eYZ: 		 [-3.205640236197263e-06, -2.3733589826285926e-06, 1.5047995547487743e-07, -1.0009689951166757e-06, 2.081375244533214e-06, 3.143775319333746e-06]

+0 solid.eXY: 		 [-1.7745798878420773e-10, -3.5124482267459513e-10, 4.0587173798830033e-10, -8.162662178403413e-10, 1.524805310446035e-09, 2.3206858969091393e-09]

-R solid.eXY: 		 [-9.274728395540538e-10, -2.0729538974178382e-09, -3.1977888083890263e-09, 3.2134212461449246e-09, -3.5120239087538453e-09, -3.50062674287711e-09]

+R solid.eXY: 		 [9.178198224857345e-11, 4.334647158470662e-09, 1.012973773003726e-08, -1.090134402917518e-08, 1.2923137932898249e-08, 1.3900660381697872e-08]

