modenumbers: 		 [7, 13, 19, 22, 26, 29, 39, 42, 46, 50, 57, 60, 64, 89, 94, 100]

freq: 		 [266281261.3299032, 777493833.9928535, 1182642712.1376233, 1517671565.6319118, 1929215399.3939326, 2298953953.7607684, 3092882588.678825, 3470499767.5506625, 3873819155.052042, 4275668923.302055, 5070644541.55514, 5468405030.673704, 5862025640.02684, 7871843878.378242, 8276226310.781191, 8683583026.205996]

mass:  		 [7.563704557624185e-16, 2.3739305456123457e-16, 4.618193264538916e-17, 3.315308303213873e-17, 2.664232550800951e-17, 1.8178856477321785e-17, 1.7172670919929048e-17, 1.5814996695359296e-17, 1.7513131973386418e-17, 1.5041150927603027e-17, 1.609693527034926e-17, 1.431701690235685e-17, 1.522679105233902e-17, 1.4015336387778806e-17, 1.4805704923564306e-17, 1.4126692757273073e-17]

maxop1(u): 		 [1.1435995806367357e-12, 2.089358049104817e-12, 2.5692899063079616e-12, 2.762408492840039e-12, 2.8888053742711035e-12, 2.949023065829832e-12, 3.017238310632423e-12, 3.0438760860787885e-12, 3.0526517783658417e-12, 3.066235226135663e-12, 3.0874490382808847e-12, 3.0905896881286e-12, 3.099535739247081e-12, 3.0879532555373003e-12, 3.0999999999999997e-12, 3.076797763712697e-12]

maxop1(v): 		 [1.1436024078996129e-12, 2.0892642273920043e-12, 2.568988453671774e-12, 2.7629371311326022e-12, 2.8896108446590013e-12, 2.949916178714683e-12, 3.020426588456297e-12, 3.0401736368048723e-12, 3.057302794396836e-12, 3.0608532124959724e-12, 3.079859729927642e-12, 3.0992518832686396e-12, 3.0864767412780195e-12, 3.0909516427605008e-12, 3.075182630289705e-12, 3.0999999999999997e-12]

maxop1(w): 		 [1.3633729321536171e-18, 3.662663560145929e-17, 8.204218099438146e-17, 1.3498554016863868e-16, 2.0549646940932916e-16, 2.6708778630659907e-16, 9.00834457023064e-16, 7.45847196734878e-16, 9.357853310826087e-16, 1.3967966115710837e-15, 1.5881314075766076e-15, 3.3360815220700236e-15, 3.7639415348343864e-15, 9.119743552712155e-15, 8.419948519212867e-15, 4.124697700883373e-15]

+0 solid.eZZ: 		 [1.846713015789648e-13, -3.806357901882264e-12, -5.975259064556598e-12, -1.3885416582868179e-11, 2.5818224843388083e-11, -4.166070033487118e-11, -5.814331473280845e-11, -7.921705405306602e-11, -9.820727752557827e-11, 6.676513000591381e-11, -1.3591139123337733e-10, 3.1526515845251464e-09, -1.5187909063745198e-10, -2.9433079667486226e-10, -5.679932831973946e-10, -1.3327188022462048e-10]

-R solid.eZZ: 		 [1.7787328453494045e-10, 4.632449697006167e-10, 3.111789084692623e-10, 3.591077790080733e-10, -3.6557788969314247e-10, 2.0854090086466726e-10, 6.781672449490341e-10, 9.436106575413171e-10, 1.6133818539832372e-10, -2.6268071047884434e-11, 1.7798580329630426e-09, 3.3675083920176967e-09, 9.630159999388848e-10, -3.3401190444796823e-09, 2.1880890162701034e-08, -4.6375953967928934e-10]

+R solid.eZZ: 		 [1.4786912666424488e-10, 3.770376175224117e-10, 1.7767318879328042e-10, 1.4349254114086568e-10, -3.070536837358181e-11, -5.910054400285092e-11, -1.1420821020069975e-09, -1.8339168392250563e-09, -1.7074654959906375e-09, -1.6551638951934833e-09, -5.165956556425576e-09, -2.104476070302166e-09, -5.2351297435294725e-09, -1.0254361288034208e-09, -2.6889906798889237e-08, -3.902757764865686e-09]

+0 solid.eXX: 		 [-5.31314999188249e-12, -9.287455657210725e-12, -1.1525004549080936e-12, 5.770278678041385e-12, -1.808224571764078e-11, 2.8855231654362353e-11, 5.049087073561032e-11, 5.6313660141514425e-11, 5.2600626881261207e-11, -3.0303165841343314e-11, -8.694152542043045e-11, -1.3230905299754922e-09, -3.2515605474734724e-10, -1.6151552289369497e-09, -2.0923821836637942e-09, -2.911737819859937e-09]

